marker,ens_id,in_dataset,n_cells_expressing,pct_expressing,mean_expr,max_expr,scope
irx3b,ENSDARG00000031138,True,12,27.906976744186046,0.3875536322593689,2.2906131744384766,
irx3b,ENSDARG00000031138,True,7,50.0,0.7048493027687073,2.1104109287261963,14hpf
irx3b,ENSDARG00000031138,True,4,19.047619047619047,0.27849698066711426,2.2906131744384766,18hpf
irx3b,ENSDARG00000031138,True,1,12.5,0.11855978518724442,0.9484782814979553,24hpf
irx3b,ENSDARG00000031138,True,2,18.181818181818183,0.17765690386295319,1.2830321788787842,cluster_105
irx3b,ENSDARG00000031138,True,2,20.0,0.3894210159778595,2.2906131744384766,cluster_109
irx3b,ENSDARG00000031138,True,1,12.5,0.11855978518724442,0.9484782814979553,cluster_187
irx3b,ENSDARG00000031138,True,7,50.0,0.7048493027687073,2.1104109287261963,cluster_69
kcnj1a.1,ENSDARG00000091232,False,0,0.0,,,
lhx1a,ENSDARG00000014018,True,15,34.883720930232556,0.6120080351829529,2.852348804473877,
lhx1a,ENSDARG00000014018,True,13,92.85714285714286,1.753539800643921,2.852348804473877,14hpf
lhx1a,ENSDARG00000014018,True,2,9.523809523809524,0.08413279801607132,1.1694586277008057,18hpf
lhx1a,ENSDARG00000014018,True,0,0.0,0.0,0.0,24hpf
lhx1a,ENSDARG00000014018,True,1,9.090909090909092,0.05430274084210396,0.5973301529884338,cluster_105
lhx1a,ENSDARG00000014018,True,1,10.0,0.11694586277008057,1.1694586277008057,cluster_109
lhx1a,ENSDARG00000014018,True,0,0.0,0.0,0.0,cluster_187
lhx1a,ENSDARG00000014018,True,13,92.85714285714286,1.753539800643921,2.852348804473877,cluster_69
mafba,ENSDARG00000017121,True,6,13.953488372093023,0.13566167652606964,1.1626148223876953,
mafba,ENSDARG00000017121,True,1,7.142857142857142,0.07709001749753952,1.079260230064392,14hpf
mafba,ENSDARG00000017121,True,4,19.047619047619047,0.17714156210422516,1.1626148223876953,18hpf
mafba,ENSDARG00000017121,True,1,12.5,0.12927734851837158,1.0342187881469727,24hpf
mafba,ENSDARG00000017121,True,2,18.181818181818183,0.17369098961353302,1.0713732242584229,cluster_105
mafba,ENSDARG00000017121,True,2,20.0,0.18093720078468323,1.1626148223876953,cluster_109
mafba,ENSDARG00000017121,True,1,12.5,0.12927734851837158,1.0342187881469727,cluster_187
mafba,ENSDARG00000017121,True,1,7.142857142857142,0.07709001749753952,1.079260230064392,cluster_69
mecom,ENSDARG00000060808,False,0,0.0,,,
nphs1,ENSDARG00000060758,False,0,0.0,,,
nphs2,ENSDARG00000042850,False,0,0.0,,,
pax2a,ENSDARG00000028148,True,36,83.72093023255815,1.5800896883010864,2.9327943325042725,
pax2a,ENSDARG00000028148,True,13,92.85714285714286,2.0272369384765625,2.9327943325042725,14hpf
pax2a,ENSDARG00000028148,True,16,76.19047619047619,1.3193100690841675,2.6604480743408203,18hpf
pax2a,ENSDARG00000028148,True,7,87.5,1.4821277856826782,2.8077313899993896,24hpf
pax2a,ENSDARG00000028148,True,9,81.81818181818183,1.5026379823684692,2.6604480743408203,cluster_105
pax2a,ENSDARG00000028148,True,7,70.0,1.1176493167877197,2.2906131744384766,cluster_109
pax2a,ENSDARG00000028148,True,7,87.5,1.4821277856826782,2.8077313899993896,cluster_187
pax2a,ENSDARG00000028148,True,13,92.85714285714286,2.0272369384765625,2.9327943325042725,cluster_69
pax8,ENSDARG00000015879,False,0,0.0,,,
podxl,ENSDARG00000031228,True,5,11.627906976744185,0.11089811474084854,1.2796497344970703,
podxl,ENSDARG00000031228,True,1,7.142857142857142,0.058555781841278076,0.8197809457778931,14hpf
podxl,ENSDARG00000031228,True,2,9.523809523809524,0.08903895318508148,1.238890528678894,18hpf
podxl,ENSDARG00000031228,True,2,25.0,0.2598775029182434,1.2796497344970703,24hpf
podxl,ENSDARG00000031228,True,2,18.181818181818183,0.16998344659805298,1.238890528678894,cluster_105
podxl,ENSDARG00000031228,True,0,0.0,0.0,0.0,cluster_109
podxl,ENSDARG00000031228,True,2,25.0,0.2598775029182434,1.2796497344970703,cluster_187
podxl,ENSDARG00000031228,True,1,7.142857142857142,0.058555781841278076,0.8197809457778931,cluster_69
pou3f3a,ENSDARG00000042032,True,8,18.6046511627907,0.2531059980392456,2.122901439666748,
pou3f3a,ENSDARG00000042032,True,0,0.0,0.0,0.0,14hpf
pou3f3a,ENSDARG00000042032,True,7,33.33333333333333,0.44485145807266235,2.122901439666748,18hpf
pou3f3a,ENSDARG00000042032,True,1,12.5,0.19270963966846466,1.5416771173477173,24hpf
pou3f3a,ENSDARG00000042032,True,6,54.54545454545454,0.7759551405906677,2.122901439666748,cluster_105
pou3f3a,ENSDARG00000042032,True,1,10.0,0.08063741028308868,0.8063740730285645,cluster_109
pou3f3a,ENSDARG00000042032,True,1,12.5,0.19270963966846466,1.5416771173477173,cluster_187
pou3f3a,ENSDARG00000042032,True,0,0.0,0.0,0.0,cluster_69
sim1a,ENSDARG00000023316,False,0,0.0,,,
slc12a1,ENSDARG00000098096,False,0,0.0,,,
slc12a1a,,False,0,0.0,,,
slc12a3,ENSDARG00000013855,True,12,27.906976744186046,0.9759081602096558,4.53040075302124,
slc12a3,ENSDARG00000013855,True,1,7.142857142857142,0.0901648998260498,1.2623085975646973,14hpf
slc12a3,ENSDARG00000013855,True,11,52.38095238095239,1.938178300857544,4.53040075302124,18hpf
slc12a3,ENSDARG00000013855,True,0,0.0,0.0,0.0,24hpf
slc12a3,ENSDARG00000013855,True,11,100.0,3.70015811920166,4.53040075302124,cluster_105
slc12a3,ENSDARG00000013855,True,0,0.0,0.0,0.0,cluster_109
slc12a3,ENSDARG00000013855,True,0,0.0,0.0,0.0,cluster_187
slc12a3,ENSDARG00000013855,True,1,7.142857142857142,0.0901648998260498,1.2623085975646973,cluster_69
slc13a1,ENSDARG00000045638,False,0,0.0,,,
slc13a3,ENSDARG00000069478,True,4,9.30232558139535,0.07213902473449707,1.0147615671157837,
slc13a3,ENSDARG00000069478,True,0,0.0,0.0,0.0,14hpf
slc13a3,ENSDARG00000069478,True,4,19.047619047619047,0.14771322906017303,1.0147615671157837,18hpf
slc13a3,ENSDARG00000069478,True,0,0.0,0.0,0.0,24hpf
slc13a3,ENSDARG00000069478,True,2,18.181818181818183,0.14655379951000214,1.0147615671157837,cluster_105
slc13a3,ENSDARG00000069478,True,2,20.0,0.14898863434791565,0.8431292176246643,cluster_109
slc13a3,ENSDARG00000069478,True,0,0.0,0.0,0.0,cluster_187
slc13a3,ENSDARG00000069478,True,0,0.0,0.0,0.0,cluster_69
slc20a1a,ENSDARG00000020114,True,13,30.23255813953488,0.5164594650268555,2.9677646160125732,
slc20a1a,ENSDARG00000020114,True,2,14.285714285714285,0.11413492262363434,0.8019392490386963,14hpf
slc20a1a,ENSDARG00000020114,True,6,28.57142857142857,0.5129448175430298,2.9677646160125732,18hpf
slc20a1a,ENSDARG00000020114,True,5,62.5,1.2297533750534058,2.951209783554077,24hpf
slc20a1a,ENSDARG00000020114,True,1,9.090909090909092,0.0713718831539154,0.7850907444953918,cluster_105
slc20a1a,ENSDARG00000020114,True,5,50.0,0.9986749887466431,2.9677646160125732,cluster_109
slc20a1a,ENSDARG00000020114,True,5,62.5,1.2297533750534058,2.951209783554077,cluster_187
slc20a1a,ENSDARG00000020114,True,2,14.285714285714285,0.11413492262363434,0.8019392490386963,cluster_69
slc4a4a,ENSDARG00000013730,True,21,48.837209302325576,1.213133692741394,4.137385845184326,
