cluster,rank,ens,symbol,description,is_tf,tf_reason,score,padj,anchor_label
21,28,ENSDARG00000052695,nr2f1a,"nuclear receptor subfamily 2, group F, member 1a [Source:NCBI gene (formerly Entrezgene);Acc:30418]",True,desc:nuclear receptor,8.53102970123291,1.2417364517350589e-14,
22,7,ENSDARG00000088332,alx4a,ALX homeobox 4 [Source:HGNC Symbol;Acc:HGNC:450],True,desc:homeobox,5.461407661437988,0.00016175414367811163,
22,10,ENSDARG00000028335,hmga1a,high mobility group AT-hook 1a [Source:NCBI gene (formerly Entrezgene);Acc:406447],True,desc:high mobility group,5.049429893493652,0.0009576826186686574,
22,17,ENSDARG00000007369,tcf7l1b,transcription factor 7 like 1b [Source:NCBI gene (formerly Entrezgene);Acc:30556],True,desc:transcription factor,4.356802940368652,0.018608614986944935,
22,24,ENSDARG00000077467,sox10,SRY-box transcription factor 10 [Source:NCBI gene (formerly Entrezgene);Acc:140616],True,desc:transcription factor,4.095943450927734,0.041992698122696834,
22,30,ENSDARG00000015890,mafa,MAF bZIP transcription factor a [Source:NCBI gene (formerly Entrezgene);Acc:114467],True,desc:transcription factor,3.66664981842041,0.18408139991605107,
3,2,ENSDARG00000077467,sox10,SRY-box transcription factor 10 [Source:NCBI gene (formerly Entrezgene);Acc:140616],True,desc:transcription factor,13.78654956817627,3.680611896271823e-39,
3,5,ENSDARG00000062338,zeb2a,zinc finger E-box binding homeobox 2a [Source:NCBI gene (formerly Entrezgene);Acc:100003889],True,desc:homeobox,12.184188842773438,1.809214220872239e-30,
3,19,ENSDARG00000033172,nr2f5,"nuclear receptor subfamily 2, group F, member 5 [Source:NCBI gene (formerly Entrezgene);Acc:30427]",True,desc:nuclear receptor,10.146971702575684,4.31215881133781e-21,
3,21,ENSDARG00000059279,tfap2a,transcription factor AP-2 alpha [Source:NCBI gene (formerly Entrezgene);Acc:140618],True,desc:transcription factor,9.838578224182129,8.764811542449618e-20,
3,22,ENSDARG00000028335,hmga1a,high mobility group AT-hook 1a [Source:NCBI gene (formerly Entrezgene);Acc:406447],True,desc:high mobility group,9.755830764770508,1.8976444420165496e-19,
4,17,ENSDARG00000079985,nrip2,nuclear receptor interacting protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:565865],True,desc:nuclear receptor,18.096275329589844,4.807560060462596e-70,proximal_tubule (37%)
5,5,ENSDARG00000003732,mitfa,melanocyte inducing transcription factor a [Source:NCBI gene (formerly Entrezgene);Acc:30080],True,desc:transcription factor,10.577201843261719,1.8223979890806886e-22,
5,6,ENSDARG00000062338,zeb2a,zinc finger E-box binding homeobox 2a [Source:NCBI gene (formerly Entrezgene);Acc:100003889],True,desc:homeobox,10.377001762390137,1.2605396070970078e-21,
5,11,ENSDARG00000077467,sox10,SRY-box transcription factor 10 [Source:NCBI gene (formerly Entrezgene);Acc:140616],True,desc:transcription factor,10.31513500213623,1.311737552104456e-21,
8,2,ENSDARG00000012078,meis1b,Meis homeobox 1 b [Source:NCBI gene (formerly Entrezgene);Acc:170446],True,desc:homeobox,14.969890594482422,1.3843926099440279e-46,
8,24,ENSDARG00000078459,cux1a,cut like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2557],True,desc:homeobox,10.788640022277832,3.5909983728250444e-24,
8,27,ENSDARG00000002937,meis1a,Meis homeobox 1 a [Source:NCBI gene (formerly Entrezgene);Acc:170455],True,desc:homeobox,10.724266052246094,6.472432796777949e-24,
8,30,ENSDARG00000069912,hmga2,high mobility group AT-hook 2 [Source:NCBI gene (formerly Entrezgene);Acc:324428],True,desc:high mobility group,10.666352272033691,1.0955470109708467e-23,
