,n_genes_by_counts,total_counts
count,2065.0,2065.0
mean,1634.9825665859564,3652.144775390625
std,775.8061165715841,3021.901611328125
min,514.0,1001.2106323242188
25%,1043.0,1675.051513671875
50%,1462.0,2673.077880859375
75%,2052.0,4591.6162109375
max,6530.0,34409.13671875
