group,symbol,ens_id,in_dataset,n_cells_expressing,pct_expressing,mean_expr,max_expr
proximal_tubule::day1,slc13a3,ENSDARG00000069478,True,2,0.338409475465313,0.004361751023679972,1.7103501558303833
proximal_tubule::day2,slc13a3,ENSDARG00000069478,True,15,1.6339869281045754,0.022271770983934402,2.8564393520355225
proximal_tubule::day3,slc13a3,ENSDARG00000069478,True,27,4.856115107913669,0.06327133625745773,2.0667977333068848
proximal_tubule,slc13a1,ENSDARG00000045638,True,71,3.438256658595642,0.06661000847816467,3.8841989040374756
proximal_tubule::day1,slc13a1,ENSDARG00000045638,True,6,1.015228426395939,0.01593884453177452,2.292079210281372
proximal_tubule::day2,slc13a1,ENSDARG00000045638,True,44,4.793028322440087,0.09174427390098572,3.77988862991333
proximal_tubule::day3,slc13a1,ENSDARG00000045638,True,21,3.776978417266187,0.07897225022315979,3.8841989040374756
distal_early,slc12a1,ENSDARG00000098096,False,0,0.0,0.0,0.0
distal_early,kcnj1a.1,ENSDARG00000091232,True,84,4.067796610169491,0.08285657316446304,3.7717440128326416
distal_early::day1,kcnj1a.1,ENSDARG00000091232,True,3,0.5076142131979695,0.01030247937887907,3.5374596118927
distal_early::day2,kcnj1a.1,ENSDARG00000091232,True,69,7.516339869281046,0.15390543639659882,3.7717440128326416
distal_early::day3,kcnj1a.1,ENSDARG00000091232,True,12,2.158273381294964,0.042670611292123795,3.214937448501587
distal_early,slc12a1a,,False,0,0.0,0.0,0.0
distal_late,slc12a3,ENSDARG00000013855,True,204,9.878934624697337,0.26207372546195984,4.771627902984619
distal_late::day1,slc12a3,ENSDARG00000013855,True,23,3.8917089678511,0.10153833031654358,4.140625
distal_late::day2,slc12a3,ENSDARG00000013855,True,157,17.10239651416122,0.4611489474773407,4.771627902984619
distal_late::day3,slc12a3,ENSDARG00000013855,True,24,4.316546762589928,0.10402586311101913,4.341006278991699
distal_late,clcnkb,,False,0,0.0,0.0,0.0
duct_general,gata3,ENSDARG00000016526,True,122,5.907990314769976,0.10027118772268295,3.038620710372925
